criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,ccp_alpha,accuracy,balanced_accuracy,recall_high,recall_low,f1_high,f1_low
gini,20,2,1,,,0.0,0.6443022059663962,0.5007976675409941,0.8286956060846982,0.17289972899728998,0.7700832389302074,0.21467025572005383
gini,20,2,2,,,0.0,0.6404160475482912,0.502095724844989,0.8181480892563736,0.18604336043360434,0.7658645497395188,0.22537754432042023
gini,20,2,5,,,0.0,0.6394254581475978,0.4983129876615987,0.8207452165156093,0.17588075880758808,0.7659395558193599,0.215257048092869
gini,20,2,10,,,0.0,0.641330437764316,0.5002567932739274,0.8226003074150633,0.17791327913279134,0.7672912443763287,0.2181063122923588
gini,20,5,1,,,0.0,0.6448356002590773,0.5025711646049518,0.827635554142153,0.17750677506775067,0.770122312093115,0.21939373639256407
gini,20,5,2,,,0.0,0.640187449994285,0.5015654726431189,0.8183070970477554,0.18482384823848239,0.7657854273101533,0.22412093328951693
gini,20,5,5,,,0.0,0.6394254581475978,0.4983129876615987,0.8207452165156093,0.17588075880758808,0.7659395558193599,0.215257048092869
gini,20,5,10,,,0.0,0.641330437764316,0.5002567932739274,0.8226003074150633,0.17791327913279134,0.7672912443763287,0.2181063122923588
gini,20,10,1,,,0.0,0.6409875414333067,0.5017095061235236,0.8199501775587004,0.18346883468834688,0.7665436166786413,0.22322974198334844
gini,20,10,2,,,0.0,0.641863832056997,0.5022365372326009,0.8212752424868819,0.1831978319783198,0.7672691260212924,0.2233972240581626
gini,20,10,5,,,0.0,0.6394254581475978,0.4983129876615987,0.8207452165156093,0.17588075880758808,0.7659395558193599,0.215257048092869
gini,20,10,10,,,0.0,0.641330437764316,0.5002567932739274,0.8226003074150633,0.17791327913279134,0.7672912443763287,0.2181063122923588
gini,30,2,1,,,0.0,0.5967539147331123,0.5019197820774519,0.7186092118513807,0.28523035230352306,0.7192572944297082,0.2845748276328241
gini,30,2,2,,,0.0,0.5846763439631196,0.5027174819371028,0.6899878094026607,0.3154471544715447,0.7048758697241249,0.2992864948254805
gini,30,2,5,,,0.0,0.594925134301063,0.4959865399258222,0.7220543806646526,0.26991869918699185,0.719309361634722,0.27257799671592775
gini,30,2,10,,,0.0,0.6070789042557244,0.5007692594416802,0.7436794402925744,0.2578590785907859,0.731257328990228,0.2695658332743112
gini,30,5,1,,,0.0,0.591343772621633,0.501992789923129,0.7061536015264748,0.2978319783197832,0.7129936851118485,0.29070228805713527
gini,30,5,2,,,0.0,0.5815140777993676,0.4999403828511174,0.6863306302008798,0.313550135501355,0.7021853478661678,0.296438636945939
gini,30,5,5,,,0.0,0.594925134301063,0.4959865399258222,0.7220543806646526,0.26991869918699185,0.719309361634722,0.27257799671592775
gini,30,5,10,,,0.0,0.6070789042557244,0.5007692594416802,0.7436794402925744,0.2578590785907859,0.731257328990228,0.2695658332743112
gini,30,10,1,,,0.0,0.5857812321408161,0.4979173534381234,0.6986802353315312,0.29715447154471547,0.7080244924266839,0.2874557609123083
gini,30,10,2,,,0.0,0.5827332647540672,0.49662223713189585,0.6933799756188053,0.29986449864498643,0.7049250996874663,0.2878137599167642
gini,30,10,5,,,0.0,0.594925134301063,0.4959865399258222,0.7220543806646526,0.26991869918699185,0.719309361634722,0.27257799671592775
gini,30,10,10,,,0.0,0.6070789042557244,0.5007692594416802,0.7436794402925744,0.2578590785907859,0.731257328990228,0.2695658332743112
gini,40,2,1,,,0.0,0.5901626852592677,0.5017487409728605,0.7037684846557481,0.2997289972899729,0.7117090558250476,0.29141690270733156
gini,40,2,2,,,0.0,0.5726368727854612,0.49784926880116315,0.6687337679546298,0.3269647696476965,0.6922718169597541,0.30081655550707476
gini,40,2,5,,,0.0,0.5888672991198994,0.49490778625388415,0.7095987703397466,0.2802168021680217,0.7127532142571938,0.27708179808400885
gini,40,2,10,,,0.0,0.6042595344229816,0.5014481236003328,0.7363650818890125,0.2665311653116531,0.7278966809001126,0.274701487326304
gini,40,5,1,,,0.0,0.5831904598620795,0.5003639511669404,0.6896167912227699,0.3111111111111111,0.7040203452194145,0.2956476950811228
gini,40,5,2,,,0.0,0.574618051586848,0.5016610496841174,0.668362749774739,0.33495934959349594,0.6931427786175621,0.3069091812030542
gini,40,5,5,,,0.0,0.5888672991198994,0.49490778625388415,0.7095987703397466,0.2802168021680217,0.7127532142571938,0.27708179808400885
gini,40,5,10,,,0.0,0.6042595344229816,0.5014481236003328,0.7363650818890125,0.2665311653116531,0.7278966809001126,0.274701487326304
gini,40,10,1,,,0.0,0.5779708157122718,0.4975995102215294,0.681242380876663,0.3139566395663957,0.6988554495283147,0.2949525809942079
gini,40,10,2,,,0.0,0.5766373299805692,0.49691946104546114,0.6790692743944453,0.314769647696477,0.6975174216027874,0.29483436984388883
gini,40,10,5,,,0.0,0.5888672991198994,0.49490778625388415,0.7095987703397466,0.2802168021680217,0.7127532142571938,0.27708179808400885
gini,40,10,10,,,0.0,0.6042595344229816,0.5014481236003328,0.7363650818890125,0.2665311653116531,0.7278966809001126,0.274701487326304
gini,50,2,1,,,0.0,0.5880672076808778,0.5000436732782021,0.7011713573965125,0.2989159891598916,0.7099007244432519,0.28980557015239095
gini,50,2,2,,,0.0,0.5764849316112317,0.5023821220085313,0.6717019133937563,0.33306233062330626,0.695134660742691,0.3066367265469062
gini,50,2,5,,,0.0,0.5906579799596144,0.4973908286546691,0.71049981449091,0.28428184281842817,0.7139053096873835,0.28085676037483265
gini,50,2,10,,,0.0,0.6042595344229816,0.5014481236003328,0.7363650818890125,0.2665311653116531,0.7278966809001126,0.274701487326304
gini,50,5,1,,,0.0,0.5848287423324571,0.5026997389945278,0.6903588275825515,0.3150406504065041,0.7050640106097924,0.2990930726185116
gini,50,5,2,,,0.0,0.5739703585171638,0.5017055201558535,0.6668256744580484,0.33658536585365856,0.6923288575830949,0.3076160990712074
gini,50,5,5,,,0.0,0.5906579799596144,0.4973908286546691,0.71049981449091,0.28428184281842817,0.7139053096873835,0.28085676037483265
gini,50,5,10,,,0.0,0.6042595344229816,0.5014481236003328,0.7363650818890125,0.2665311653116531,0.7278966809001126,0.274701487326304
gini,50,10,1,,,0.0,0.5773993218272564,0.4972019907430749,0.6804473419197541,0.3139566395663957,0.6983246301131418,0.29467124507185555
gini,50,10,2,,,0.0,0.5746561511791823,0.49587138855169755,0.6758891185668098,0.31585365853658537,0.695538344060216,0.2945785416403387
gini,50,10,5,,,0.0,0.5906579799596144,0.4973908286546691,0.71049981449091,0.28428184281842817,0.7139053096873835,0.28085676037483265
gini,50,10,10,,,0.0,0.6042595344229816,0.5014481236003328,0.7363650818890125,0.2665311653116531,0.7278966809001126,0.274701487326304
